autor,date,editoria,id_dn,link,link_rel,link_rel_interno,sub_titulo,tags,time,titulo
Redação,19 de Novembro de 2019,Região,2176517,https://diariodonordeste.verdesmares.com.br/editorias/regiao/online/venezuelanos-refugiados-em-sobral-recebem-auxilio-com-doacoes-de-alimento-e-utensilios-domesticos-1.2176517,0,0,"No grupo estão uma venezuelana grávida de nove meses, um casal de idosos e crianças.","Ceará,sobral",13:15,Venezuelanos refugiados em Sobral recebem auxílio com doações de alimento e utensílios domésticos
Redação,19 de Novembro de 2019,Segurança,2176561,https://diariodonordeste.verdesmares.com.br/editorias/seguranca/online/policial-militar-presa-apos-desacatar-pms-em-pacatuba-e-liberada-1.2176561,0,0,A policial desacatou agentes e o sargento de uma composição da Polícia Militar,"pacatuba,audiencia de custódia",13:29,Policial militar presa após desacatar PMs em Pacatuba é liberada
Redação,19 de Novembro de 2019,Jogada,2176598,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/com-pablo-suspenso-sao-paulo-tem-duvida-no-ataque-para-confronto-diante-do-ceara-1.2176598,0,0,"Alvinegro cearense e tricolor paulista se encaram no domingo (24), às 19h, na Arena Castelão","Esportes,arena castelão,brasileirão série a,ceará sporting club",14:15,"Com Pablo suspenso, São Paulo tem dúvida no ataque para confronto diante do Ceará"
Redação,19 de Novembro de 2019,Jogada,2176543,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/fortaleza-tem-ceni-e-mais-3-jogadores-na-selecao-da-rodada-do-cartola-tinga-foi-o-maior-pontuador-1.2176543,0,0,"Lateral Tinga foi o maior pontuador da rodada, com 17,50 pontos após marcar gol contra o CSA","Esportes,brasileirão série a,fortaleza esporte clube",12:33,Fortaleza tem Ceni e mais 3 jogadores na Seleção da rodada do Cartola; Tinga foi o maior pontuador
Folha Press,19 de Novembro de 2019,Jogada,2176551,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/selecao-brasileira-marca-de-falta-apos-5-anos-e-volta-a-vencer-1.2176551,5,5,"Brasil vinha de duas derrotas - Peru e Argentina - e três empates - Colômbia, Nigéria e Senegal - nos últimos cinco jogos","Esportes,cbf,copa américa de futebol,copa do mundo de futebol,eliminatórias da copa,seleção brasileira",12:52,Seleção Brasileira marca de falta após 5 anos e volta a vencer
Folha Press,19 de Novembro de 2019,Verso,2176553,https://diariodonordeste.verdesmares.com.br/editorias/verso/online/blue-ivy-filha-de-beyonce-ganha-seu-primeiro-premio-como-compositora-aos-sete-anos-1.2176553,0,0,"A composição faz parte do disco ""The Lion King: The Gift"" feito por Beyoncé para o live action de ""O Rei Leão""","Artes Cultura e Entretenimento,Pessoas,Beyoncé",12:57,"Blue Ivy, filha de Beyoncé, ganha seu primeiro prêmio como compositora aos sete anos"
Folhapress,17 de Novembro de 2019,Verso,2175716,https://diariodonordeste.verdesmares.com.br/editorias/verso/online/gloria-maria-tem-alta-hospitalar-apos-passar-por-cirurgia-de-emergencia-no-cerebro-1.2175716,0,0,Os médicos que atenderam a jornalista não detalharam o procedimento,"Artes Cultura e Entretenimento,Gloria Maria,cirurgia",15:07,Gloria Maria tem alta hospitalar após passar por cirurgia de emergência no cérebro
Conteúdo Estadão,19 de Novembro de 2019,Jogada,2176580,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/coutinho-e-paqueta-revelam-alivio-por-fim-de-jejum-e-pressao-sobre-a-selecao-1.2176580,1,1,"Com gol do meia do Bayern de Munique aos 35 do primeiro tempo, a Seleção Brasileira voltou a marcar de falta após 72 jogos","Esportes,copa do mundo de futebol,eliminatórias da copa,seleção brasileira",13:39,Coutinho e Paquetá revelam alívio por fim de jejum e pressão sobre a seleção
Redação,19 de Novembro de 2019,Segurança,2176541,https://diariodonordeste.verdesmares.com.br/editorias/seguranca/online/suspeito-de-trafico-de-drogas-e-preso-e-1-3-kg-de-entorpecentes-sao-apreendidos-no-bairro-papicu-1.2176541,0,0,A Polícia Civil do Estado do Ceará (PCCE) apreendeu também munições e um colete à prova de balas,polícia civil ,12:44,"Suspeito de tráfico de drogas é preso e 1,3 kg de entorpecentes são apreendidos no bairro Papicu"
Redação,02 de Janeiro de 2019,Negócios,2044940,https://diariodonordeste.verdesmares.com.br/editorias/negocios/online/como-pagar-ipva-atrasado-1.2044940,5,4,Contribuinte pode negociar a dívida,ipva,14:37,Como pagar IPVA atrasado?
Redação,19 de Novembro de 2019,Verso,2176556,https://diariodonordeste.verdesmares.com.br/editorias/verso/online/sessao-da-tarde-veja-qual-filme-vai-ser-exibido-hoje-19-11-com-katherine-heigl-1.2176556,2,2,,sessão da tarde,13:10,Sessão da Tarde: veja qual filme vai ser exibido hoje (19/11) com Katherine Heigl
Redação,06 de Novembro de 2019,Segurança,2171459,https://diariodonordeste.verdesmares.com.br/editorias/seguranca/online/dois-sobreviventes-da-queda-do-edificio-andrea-recebem-alta-hospitalar-1.2171459,1,1,"Segundo o hospital Instituto Dr. José Frota, Cleide Maria Carvalho e Gilson Moreira Gomes ainda vão receber atendimento ambulatorial para o tratamento das lesões","edificio andrea,desabamento",17:44,Dois sobreviventes da queda do Edifício Andrea recebem alta hospitalar
Redação,19 de Novembro de 2019,Verso,2176587,https://diariodonordeste.verdesmares.com.br/editorias/verso/online/maroon-5-anuncia-quatro-shows-no-brasil-para-2020-1.2176587,1,0,"Os shows acontecerão em São Paulo, Brasília, Recife e Rio de Janeiro; os ingressos gerais começam a ser vendidos na quinta-feira (28)","Artes Cultura e Entretenimento,Maroon 5,show,turnê,música",14:07,Maroon 5 anuncia quatro shows no Brasil para 2020
Estadão Conteúdo,19 de Novembro de 2019,Negócios,2176490,https://diariodonordeste.verdesmares.com.br/editorias/negocios/online/nordeste-tem-2-934-mi-em-situacao-de-desalento-sudeste-tem-921-mil-diz-ibge-1.2176490,0,0,"O Brasil registrou um total de 4,703 milhões de pessoas em situação de desalento no terceiro trimestre de 2019",Economia,11:13,"Nordeste tem 2,934 mi em situação de desalento; Sudeste tem 921 mil, diz IBGE"
Redação,19 de Novembro de 2019,Metro,2176485,https://diariodonordeste.verdesmares.com.br/editorias/metro/online/confira-o-antes-e-o-depois-da-beira-mar-apos-o-fim-das-obras-de-expansao-da-faixa-de-areia-1.2176485,1,1,"Em imagens, a diferença mais latente é a distância do mar para a Estátua de Iracema, monumento característico do local.","Municípios,obras,nova beira-mar,dragagem,faixa de areia",11:24,Confira o antes e o depois da Beira-Mar após o fim das obras de expansão da faixa de areia
Conteúdo Estadão,19 de Novembro de 2019,Jogada,2176519,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/cinco-meses-apos-deixar-cargo-luis-enrique-reassume-comando-da-selecao-espanhola-1.2176519,0,0,"Técnico havia deixado o comando da equipe nacional para cuidar de sua filha Xana, de 9 anos, que faleceu no fim de agosto vítima de um tipo de câncer ósseo","Esportes,copa do mundo de futebol",12:10,"Cinco meses após deixar cargo, Luis Enrique reassume comando da seleção espanhola"
Denise Marçal,19 de Novembro de 2019,Cuidar e Crescer,2176495,https://diariodonordeste.verdesmares.com.br/projetos/cuidar-e-crescer/online/crescimento-saudavel-1.2176495,0,0,"A rotina de um bebê é mais do que mamar e dormir. Quando são incluídas atividades estimulantes, o desenvolvimento da criança tem outro nível de evolução de suas habilidades visuais, sonoras e táteis. Entenda como funciona a estimulação precoce de bebês.","estimulação precoce,bebês,maternidade",11:54,Crescimento saudável
Conteúdo Estadão,19 de Novembro de 2019,Jogada,2176507,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/pele-comemora-50-anos-de-seu-historico-milesimo-gol-na-carreira-1.2176507,0,0,"Há meio século, no dia 19 de novembro de 1969, uma quarta-feira de rodada do extinto Torneio Roberto Gomes Pedrosa, saiu o milésimo do Rei do Futebol","Esportes,cbf,copa américa de futebol",11:56,Pelé comemora 50 anos de seu histórico milésimo gol na carreira
Alexandre Mota,19 de Novembro de 2019,Jogada,2176493,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/ex-tecnico-do-icasa-e-convidado-para-trabalhar-no-corinthians-1.2176493,0,0,Tarcísio Pugliese recebeu uma proposta para integrar a comissão técnica do clube em 2020,"Esportes,icasa",11:36,Ex-técnico do Icasa é convidado para trabalhar no Corinthians
Redação,19 de Novembro de 2019,Verso,2176539,https://diariodonordeste.verdesmares.com.br/editorias/verso/online/banda-local-daniel-sansil-e-os-maluco-do-brasil-lanca-novo-repertorio-1.2176539,0,0,"As músicas integram o segundo álbum dos cearenses, ainda inédito. O grupo apresenta as novas composições em uma série de shows, realizada a partir desta quinta (21)","Artes Cultura e Entretenimento,costumes e tradições,música",12:30,Banda local Daniel Sansil e os Maluco do Brasil lança novo repertório
